Variable,Series_Name,Series_template,Factor,notes,notes_variable
Final Energy|Industry|EInt Mfg|Cement and lime|Biomass Solids,Cement Industry : Energy Use : Renewables,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CEM_REB_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Cement and lime|Coal,Cement Industry : Energy Use : Steam Coal,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CEM_STC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Cement and lime|Electricity,Cement Industry : Energy Use : Purchased Electricity,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CEM_PRC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Cement and lime|Gas,Cement Industry : Energy Use : Natural Gas,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CEM_NG_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Cement and lime|Oil,"Cement Industry : Energy Use : Petroleum Subtotal, Reference, AEO2022",{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CEM_PET_NA_NA_TRLBTU.A,,,
Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Cement and lime,Cement Industry : Carbon Dioxide Emissions,{EIA_dataset}.{EIA_scenario}.EMI_CO2_IDAL_CEM_NA_NA_NA_METNCO2.A,,,
Output|Industry|EInt Mfg|Cement and lime|Value,Cement Industry : Value of Shipments,{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_CEM_NA_NA_NA_BLNY09DLR.A,,,
,,,,,
Final Energy|Industry|EInt Mfg|Iron and steel|Biomass Solids,Iron and Steel : Energy Use : Renewables,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_ISM_REB_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Iron and steel|Coal,Iron and Steel : Energy Use : Steam Coal,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_ISM_STC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Iron and steel|Electricity,Iron and Steel : Energy Use : Purchased Electricity,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_ISM_PRC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Iron and steel|Gas,Iron and Steel : Energy Use : Natural Gas,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_ISM_NG_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Iron and steel|Oil,"Iron and Steel : Energy Use : Petroleum Subtotal, Reference, AEO2022",{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_ISM_PET_NA_NA_TRLBTU.A,,,
Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Iron and steel,Iron and Steel : Carbon Dioxide Emissions,{EIA_dataset}.{EIA_scenario}.EMI_CO2_IDAL_ISM_NA_NA_NA_METNCO2.A,,,
